,horizon,mse,rmse,mae,mape,coverage
0,37 days 00:00:00.000000000,503.7923767269862,22.445319706499756,18.496017092576665,0.07124663337952192,0.29772439949431095
1,38 days 00:00:00.000000000,551.926083872264,23.49310715661647,19.246826547529473,0.0740214733138285,0.2844500632111252
2,39 days 00:00:00.000000000,603.0692090658636,24.55746748070459,20.00626185007992,0.07684375981996562,0.27307206068268014
3,40 days 00:00:00.000000000,645.4562526524077,25.40583107580635,20.571995224447935,0.07921163054360987,0.26738305941845764
4,41 days 00:00:00.000000000,679.1181923891127,26.0598962467066,21.049902620950675,0.08135369594919951,0.2654867256637168
5,42 days 00:00:00.000000000,703.6576982450722,26.526547047157724,21.430735250797476,0.08297321119147864,0.26106194690265483
6,43 days 00:00:00.000000000,752.1971006689135,27.426211927076505,22.235445001981063,0.08616081455261904,0.24041297935103245
7,44 days 00:00:00.000000000,808.2233815238169,28.429269802860166,23.000834936153847,0.08919597404884735,0.23072060682680157
8,45 days 00:00:00.000000000,862.3268979894922,29.36540307895487,23.614062523945293,0.09166933976637041,0.2243994943109987
9,46 days 00:00:00.000000000,912.3067038055856,30.204415303157013,24.125231426666858,0.09379280385212563,0.21744627054361565
10,47 days 00:00:00.000000000,965.0201830242638,31.0647739895893,24.640595662387042,0.09616357164229547,0.21554993678887477
11,48 days 00:00:00.000000000,1003.9668813025489,31.685436422788133,25.093941932325954,0.09828140535398468,0.21681415929203535
12,49 days 00:00:00.000000000,1032.0946267651523,32.12622957592678,25.48753212203671,0.10001281590690737,0.2168141592920354
13,50 days 00:00:00.000000000,1107.221165482366,33.27493298990046,26.421375246589314,0.10390762884273214,0.20442477876106196
14,51 days 00:00:00.000000000,1148.98353915228,33.89665970493671,26.948187285645147,0.10587387072967543,0.20164348925410877
15,52 days 00:00:00.000000000,1219.281841507919,34.91821647088979,27.617251861400526,0.10856767852307626,0.2085967130214917
16,53 days 00:00:00.000000000,1282.2793489099408,35.80892834070772,28.23506026768181,0.1111192504454705,0.21112515802781287
