date,open,high,low,close,volume
10/25/2007,33,35,28.89,29.82,7486900
10/26/2007,29.69,32.98,29.25,32,1625600
10/29/2007,34,35,32.65,34.7,667900
10/30/2007,35.22,35.6,33,35.43,455600
10/31/2007,34.93,35.63,32.95,34.2,393200
11/1/2007,33.5,33.5,32.14,32.73,453900
11/2/2007,32.74,32.97,31.52,32.42,276000
11/5/2007,31.61,32.25,31.11,31.5,342300
11/6/2007,31.51,31.9,31.35,31.43,223100
11/7/2007,31.3,31.3,29.25,29.35,525600
11/8/2007,29.25,30.15,29.25,30,411100
11/9/2007,29.65,30.08,29.06,29.9,213400
11/12/2007,29.67,31.16,29.04,29.04,112900
11/13/2007,29.3,30,28.41,29.13,236700
11/14/2007,29.16,30.25,29.1,29.95,244500
11/15/2007,29.71,30.69,29.71,30.2,76800
11/16/2007,30.2,30.7,30,30.69,88900
11/19/2007,30.05,30.69,28.75,29.19,238300
11/20/2007,29.71,29.72,25.26,27,742900
11/21/2007,26.33,26.41,23.26,24.35,810400
11/23/2007,23.74,24.24,22.85,24.17,100200
11/26/2007,24.77,25.33,24,24.2,233800
11/27/2007,24.44,25,23.8,23.87,211200
11/28/2007,24.47,25.31,24.2,24.85,417400
11/29/2007,24.49,25.02,24.19,24.79,341700
11/30/2007,25,26.23,24.76,25.74,199100
12/3/2007,25.98,26.75,25.55,26.3,319200
12/4/2007,26.29,26.66,25.73,25.85,180500
12/5/2007,26.08,26.75,26.01,26.54,168500
12/6/2007,26.55,27.5,26.55,27.49,102100
12/7/2007,27.67,28.85,27.66,27.98,103200
12/10/2007,28.23,28.53,26.53,27.5,281500
12/11/2007,26.5,26.79,19.35,20.91,3591000
12/12/2007,21.12,21.85,18.41,19.55,1121400
12/13/2007,19.55,19.76,17.53,18.56,1190300
12/14/2007,18.7,18.7,18.1,18.55,173500
12/17/2007,18.6,18.6,17.41,17.86,161500
12/18/2007,18,18,17.12,17.7,220900
12/19/2007,17.81,17.92,17.1,17.75,143400
12/20/2007,17.75,17.75,16.5,16.75,252700
12/21/2007,17,17.15,15.6,16.58,1079900
12/24/2007,16.74,16.83,16.2336,16.8,189600
12/26/2007,16.7,17.95,16.41,17.35,270700
12/27/2007,17.25,17.45,17,17.27,123400
12/28/2007,17.26,17.48,16.9,17.1,234400
12/31/2007,17,17.35,16.88,17.15,515300
1/2/2008,17,17.1,16.23,16.55,213100
1/3/2008,16.24,16.86,15.05,15.5,296500
1/4/2008,15.75,15.75,14.49,14.49,334400
1/7/2008,14.56,14.75,11.83,12.52,993300
1/8/2008,12.8,13.75,12.35,13.55,704000
1/9/2008,13.49,14.5,13.39,14.5,1019800
1/10/2008,14.35,16.26,14.35,16.07,1232700
1/11/2008,15.7,16,15.21,15.8,417800
1/14/2008,15.77,16.41,15.58,16.05,237900
1/15/2008,15.65,16.06,15.58,15.61,291600
1/16/2008,15.6,16.33,15.59,15.91,297100
1/17/2008,15.83,15.92,14.39,14.76,188900
1/18/2008,14.66,14.74,12,12.5,951100
1/22/2008,12,12.86,11.775,12.58,1503700
1/23/2008,12.28,14.5,12.27,14.25,391700
1/24/2008,14.3,14.55,13.99,14.3,579400
1/25/2008,14.53,15.68,14.25,15.19,340200
1/28/2008,15.11,15.76,14.83,15.5,212400
1/29/2008,15.5,16.6,15.14,16.35,233900
1/30/2008,16.11,16.53,15.49,15.55,330100
1/31/2008,15.4,15.77,15.21,15.24,281700
2/1/2008,15.55,15.68,14.1,14.75,375000
2/4/2008,14.63,14.8799,13.882,14.03,189300
2/5/2008,13.71,14.19,13.69,14,166000
2/6/2008,14.04,14.75,14,14.2,92200
2/7/2008,14.15,16.25,13.93,15.92,243500
2/8/2008,15.75,15.78,15.12,15.55,395700
2/11/2008,15.55,15.6,14.79,15.09,125200
2/12/2008,15.14,15.86,14.8,14.91,123600
2/13/2008,15.02,15.08,14.5,14.93,147500
2/14/2008,14.99,15.09,14.33,14.79,174500
2/15/2008,14.74,14.79,14.44,14.79,67100
2/19/2008,15.05,16.04,14.75,14.78,119400
2/20/2008,14.74,15,14.4,14.92,72300
2/21/2008,15.06,15.53,14.76,14.78,123600
2/22/2008,14.79,14.88,13.49,14,155300
2/25/2008,14.28,14.3,13.9,14.15,275300
2/26/2008,14.08,15.48,14.08,15.17,141400
2/27/2008,14.96,14.96,14.64,14.82,106500
2/28/2008,15.04,15.05,14.5801,14.62,192500
2/29/2008,14.68,14.68,13.79,14.01,155900
3/3/2008,14.25,15.1,14.25,14.75,269600
