date,open,high,low,close,volume
1/1/2016,,,,,
1/2/2016,,,,,
1/3/2016,,,,,
1/4/2016,182.67,184.6,180.455,181.81,1196625
1/5/2016,182.57,183.88,180.73,182.67,567952
1/6/2016,180.39,183.27,179.13,183.21,870706
1/7/2016,179.8,186.49,179.8,182.98,1034469
1/8/2016,184.8,184.8,181.65,182.17,847551
1/9/2016,,,,,
1/10/2016,,,,,
1/11/2016,182.64,183.93,179.86,182,560657
1/12/2016,182.81,185.98,182.75,185.62,675419
1/13/2016,186,186,178.5,179.09,877918
1/14/2016,179.09,180.37,173.86,177.88,1606655
1/15/2016,173.2,174.49,168.4,170.45,1658360
1/16/2016,,,,,
1/17/2016,,,,,
1/18/2016,,,,,
1/19/2016,171.98,177.95,170.39,175.31,1041246
1/20/2016,173.3,175.96,168.53,174.26,1557148
1/21/2016,174.5,180.58,173.1,176.5,1213337
1/22/2016,177.95,180.16,175.55,179.73,1041381
1/23/2016,,,,,
1/24/2016,,,,,
1/25/2016,178.5,179.785,175.25,175.66,873665
1/26/2016,176.58,179.95,175.67,179.13,815474
1/27/2016,178.83,179.56,172.9,173.93,812806
1/28/2016,175.83,175.84,171.29,174.34,763730
1/29/2016,175.34,181.3,174.88,181.17,1054480
1/30/2016,,,,,
1/31/2016,,,,,
2/1/2016,179.92,182.01,177.76,180.57,748074
2/2/2016,179.74,180.7219,176.46,177.03,650474
2/3/2016,180.5,181.425,171.25,173.46,1069201
2/4/2016,173.55,173.55,167.5,168.88,1295530
2/5/2016,168.75,169.4817,155.811,159.71,2367486
2/6/2016,,,,,
2/7/2016,,,,,
2/8/2016,156.76,156.8459,152.75,155.34,1885527
2/9/2016,152,155.91,148.6,151.98,1785503
2/10/2016,152.79,156.12,151.8301,153.84,1439537
2/11/2016,152.54,154.66,150.1,153.31,1200733
2/12/2016,156.24,158.64,154.285,158.49,1066781
2/13/2016,,,,,
2/14/2016,,,,,
2/15/2016,,,,,
2/16/2016,160.61,161.89,157.6,159.02,971400
2/17/2016,160.51,162.89,158.16,158.92,1443793
2/18/2016,155.33,155.95,147.25,154.55,3673523
2/19/2016,153.16,153.385,146.77,150.07,2825554
2/20/2016,,,,,
2/21/2016,,,,,
2/22/2016,151,156.87,150.43,156.27,1571990
2/23/2016,156.63,161.46,156.3,159.17,1924192
2/24/2016,156.52,161.23,156,160.75,1247979
2/25/2016,161.52,164.27,160.875,164.25,1408134
2/26/2016,165.57,166.97,162.54,164.75,1205134
2/27/2016,,,,,
2/28/2016,,,,,
2/29/2016,165,168.5,164,165.19,1183070
3/1/2016,165.86,168.65,164.2,168.41,1053590
3/2/2016,168.21,168.86,165.71,168.32,776315
3/3/2016,167.41,171.1906,166,169.38,1124432
3/4/2016,169.96,170.05,167.58,168.97,628748
3/5/2016,,,,,
3/6/2016,,,,,
3/7/2016,168.57,168.89,163.05,164.64,1238029
